vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
    293       79938     0.1%    98.5%
    292       85082     0.1%    98.6%
    291       83332     0.1%    98.7%
    290       90749     0.1%    98.8%
    289       91046     0.1%    98.9%
    288       79870     0.1%    98.9%
    287       15404     0.0%    98.9%
    286        4738     0.0%    99.0%
    285        6248     0.0%    99.0%
    284        1723     0.0%    99.0%
    283        1192     0.0%    99.0%
    282        1069     0.0%    99.0%
    281        1487     0.0%    99.0%
    280       13469     0.0%    99.0%
    279       13943     0.0%    99.0%
    278       13137     0.0%    99.0%
    277       13935     0.0%    99.0%
    276       13942     0.0%    99.0%
    275       13292     0.0%    99.0%
    274        2087     0.0%    99.0%
    273         207     0.0%    99.0%
    272         664     0.0%    99.0%
    271         187     0.0%    99.0%
    270         170     0.0%    99.0%
    269         279     0.0%    99.0%
    268         326     0.0%    99.0%
    267         252     0.0%    99.0%
    266         248     0.0%    99.0%
    265         282     0.0%    99.0%
    264         258     0.0%    99.0%
    263        1018     0.0%    99.1%
    262        1189     0.0%    99.1%
    261        1162     0.0%    99.1%
    260        1213     0.0%    99.1%
    259        1435     0.0%    99.1%
    258        1234     0.0%    99.1%
    257         341     0.0%    99.1%
    256         188     0.0%    99.1%
    255         107     0.0%    99.1%
    254          53     0.0%    99.1%
    253          32     0.0%    99.1%
    252          15     0.0%    99.1%
    251          28     0.0%    99.1%
    250          25     0.0%    99.1%
    249          33     0.0%    99.1%
    248          60     0.0%    99.1%
    247          79     0.0%    99.1%
    246          99     0.0%    99.1%
    245         127     0.0%    99.1%
    244         152     0.0%    99.1%
    243         193     0.0%    99.1%
    242         220     0.0%    99.1%
    241         328     0.0%    99.1%
    240         349     0.0%    99.1%
    239         285     0.0%    99.1%
    238         324     0.0%    99.1%
    237         262     0.0%    99.1%
    236         286     0.0%    99.1%
    235         133     0.0%    99.1%
    234          83     0.0%    99.1%
    233         175     0.0%    99.1%
    232         207     0.0%    99.1%
    231         232     0.0%    99.1%
    230         238     0.0%    99.1%
    229         238     0.0%    99.1%
    228         259     0.0%    99.1%
    227         172     0.0%    99.1%
    226         500     0.0%    99.1%
    225         441     0.0%    99.1%
    224         459     0.0%    99.1%
    223         458     0.0%    99.1%
    222         442     0.0%    99.1%
    221         517     0.0%    99.1%
    220         199     0.0%    99.1%
    219         231     0.0%    99.1%
    218         150     0.0%    99.1%
    217         109     0.0%    99.1%
    216         111     0.0%    99.1%
    215         100     0.0%    99.1%
    214          82     0.0%    99.1%
    213         140     0.0%    99.1%
    212         131     0.0%    99.1%
    211         169     0.0%    99.1%
    210         170     0.0%    99.1%
    209         166     0.0%    99.1%
    208         216     0.0%    99.1%
    207         145     0.0%    99.1%
    206          94     0.0%    99.1%
    205         107     0.0%    99.1%
    204          99     0.0%    99.1%
    203         139     0.0%    99.1%
    202         122     0.0%    99.1%
    201         172     0.0%    99.1%
    200         181     0.0%    99.1%
    199         173     0.0%    99.1%
    198         194     0.0%    99.1%
    197         175     0.0%    99.1%
    196         198     0.0%    99.1%
    195         119     0.0%    99.1%
    194          89     0.0%    99.1%
    193          90     0.0%    99.1%
    192         205     0.0%    99.1%
    191         144     0.0%    99.1%
    190         134     0.0%    99.1%
    189         186     0.0%    99.1%
    188         364     0.0%    99.1%
    187         406     0.0%    99.1%
    186         385     0.0%    99.1%
    185         365     0.0%    99.1%
    184         352     0.0%    99.1%
    183         457     0.0%    99.1%
    182        1474     0.0%    99.1%
    181       31877     0.0%    99.1%
    180       34243     0.0%    99.1%
    179       32865     0.0%    99.2%
    178       37778     0.0%    99.2%
    177       38666     0.0%    99.2%
    176       36948     0.0%    99.3%
    175        6952     0.0%    99.3%
    174        2846     0.0%    99.3%
    173        3579     0.0%    99.3%
    172         665     0.0%    99.3%
    171         260     0.0%    99.3%
    170         271     0.0%    99.3%
    169         435     0.0%    99.3%
    168         488     0.0%    99.3%
    167         549     0.0%    99.3%
    166         505     0.0%    99.3%
    165         447     0.0%    99.3%
    164         719     0.0%    99.3%
    163         472     0.0%    99.3%
    162         411     0.0%    99.3%
    161         711     0.0%    99.3%
    160         791     0.0%    99.3%
    159         747     0.0%    99.3%
    158         548     0.0%    99.3%
    157         585     0.0%    99.3%
    156         541     0.0%    99.3%
    155         201     0.0%    99.3%
    154         246     0.0%    99.3%
    153       11996     0.0%    99.3%
    152       12646     0.0%    99.3%
    151       12163     0.0%    99.3%
    150       13128     0.0%    99.4%
    149       13369     0.0%    99.4%
    148       12828     0.0%    99.4%
    147        2087     0.0%    99.4%
    146         399     0.0%    99.4%
    145         674     0.0%    99.4%
    144         293     0.0%    99.4%
    143        1520     0.0%    99.4%
    142        1584     0.0%    99.4%
    141        1526     0.0%    99.4%
    140        1690     0.0%    99.4%
    139        1695     0.0%    99.4%
    138        1628     0.0%    99.4%
    137         404     0.0%    99.4%
    136         645     0.0%    99.4%
    135        1209     0.0%    99.4%
    134        1235     0.0%    99.4%
    133        1191     0.0%    99.4%
    132        1206     0.0%    99.4%
    131        1225     0.0%    99.4%
    130         829     0.0%    99.4%
    129         354     0.0%    99.4%
    128         158     0.0%    99.4%
    127         166     0.0%    99.4%
    126         585     0.0%    99.4%
    125         551     0.0%    99.4%
    124         586     0.0%    99.4%
    123         655     0.0%    99.4%
    122         670     0.0%    99.4%
    121         663     0.0%    99.4%
    120         419     0.0%    99.4%
    119         404     0.0%    99.4%
    118         395     0.0%    99.4%
    117         419     0.0%    99.4%
    116         363     0.0%    99.4%
    115         390     0.0%    99.4%
    114         277     0.0%    99.4%
    113         334     0.0%    99.4%
    112         226     0.0%    99.4%
    111         264     0.0%    99.4%
    110         254     0.0%    99.4%
    109         243     0.0%    99.4%
    108         246     0.0%    99.4%
    107         301     0.0%    99.4%
    106         299     0.0%    99.4%
    105         317     0.0%    99.4%
    104         315     0.0%    99.4%
    103         337     0.0%    99.4%
    102         613     0.0%    99.4%
    101         585     0.0%    99.4%
