OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_23687									0	0
FOTU_23688	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1					0	0
FOTU_23689									0	0
FOTU_23690	Fungi_1								0	0
FOTU_23691	Fungi_1	Ascomycota_1							0	0
FOTU_23692									0	0
FOTU_23693									0	0
FOTU_23694									0	0
FOTU_23695	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1					0	0
FOTU_23696									0	0
FOTU_23697	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1					0	0
FOTU_23698	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1					0	0
FOTU_23699	Fungi_1	Ascomycota_1							0	0
FOTU_23700	Fungi_1	Glomeromycota_1	Glomeromycetes_1	Glomerales_1	Glomeraceae_1	Funneliformis_1	Funneliformis pilosus 		0	0
FOTU_23701									0	0
FOTU_23702									0	0
FOTU_23703									0	0
FOTU_23704	Fungi_1	Zoopagomycota_1							0	0
FOTU_23705	Rhizaria_1	Cercozoa_1							0	0
FOTU_23706	Rhizaria_1	Cercozoa_1							0	0
FOTU_23707	Fungi_1	Glomeromycota_1							0	0
FOTU_23708	Rhizaria_1	Cercozoa_1							0	0
FOTU_23709									0	0
FOTU_23710									0	0
FOTU_23711	Fungi_1								0	0
FOTU_23712	Fungi_1	Rozellomycota_1							0	0
FOTU_23713	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1	Cyphellophoraceae_1	Cyphellophora_1			0	0
FOTU_23714									0	0
FOTU_23715									0	0
FOTU_23716									0	0
FOTU_23717	Fungi_1	Ascomycota_1							0	0
FOTU_23718									0	0
FOTU_23719									0	0
FOTU_23720									0	0
FOTU_23721									0	0
FOTU_23722									0	0
FOTU_23723	Rhizaria_1	Cercozoa_1							0	0
FOTU_23724									0	0
FOTU_23725	Rhizaria_1	Cercozoa_1							0	0
FOTU_23726	Fungi_1	Rozellomycota_1							0	0
FOTU_23727	Fungi_1								0	0
FOTU_23728	Fungi_1	Ascomycota_1							0	0
FOTU_23729									0	0
FOTU_23730									0	0
FOTU_23731	Metazoa_1	Gastrotricha_1							0	0
FOTU_23732									0	0
FOTU_23733									0	0
FOTU_23734									0	0
FOTU_23735									0	0
FOTU_23736	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Podosporaceae_1	Cladorrhinum_1	Cladorrhinum australe 	Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	76.961	100
FOTU_23737									0	0
FOTU_23738									0	0
FOTU_23739									0	0
FOTU_23740	Fungi_1								0	0
FOTU_23741									0	0
FOTU_23742									0	0
FOTU_23743									0	0
FOTU_23744	Fungi_1	Ascomycota_1	Dothideomycetes_1	Venturiales_1	Sympoventuriaceae_1	Scolecobasidium_1	Scolecobasidium constrictum 		0	0
FOTU_23745	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Agaricaceae_1				0	0
FOTU_23746									0	0
FOTU_23747	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Trechisporales_1	Hydnodontaceae_1	Trechispora_1	Trechispora crystallina 		0	0
FOTU_23748									0	0
FOTU_23749									0	0
FOTU_23750									0	0
FOTU_23751	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Psathyrellaceae_1	Coprinellus_1	Coprinellus radians 		0	0
FOTU_23752	Fungi_1	Ascomycota_1	Leotiomycetes_1	Leotiales_1	Tympanidaceae_1				0	0
FOTU_23753	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1					0	0
FOTU_23754									0	0
FOTU_23755	Rhizaria_1	Cercozoa_1	Thaumatomonadida_1	Thaumatomastigidae_1					0	0
FOTU_23756	Rhizaria_1	Cercozoa_1							0	0
FOTU_23757	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1				Fungi-CCHF65,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__Sesquicillium	83.085	100
FOTU_23758									0	0
FOTU_23759	Fungi_1	Chytridiomycota_1							0	0
FOTU_23760	Fungi_1								0	0
FOTU_23761									0	0
FOTU_23762									0	0
FOTU_23763									0	0
FOTU_23764	Rhizaria_1	Cercozoa_1							0	0
FOTU_23765									0	0
FOTU_23766									0	0
FOTU_23767									0	0
FOTU_23768	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1					0	0
FOTU_23769									0	0
FOTU_23770	Fungi_1	Basidiomycota_1	Moniliellomycetes_1	Moniliellales_1	Moniliellaceae_1	Moniliella_1			0	0
FOTU_23771	Fungi_1	Ascomycota_1	Orbiliomycetes_1	Orbiliales_1	Orbiliaceae_1				0	0
FOTU_23772	Rhizaria_1	Cercozoa_1							0	0
FOTU_23773									0	0
FOTU_23774									0	0
FOTU_23775	Fungi_1	Ascomycota_1	Sordariomycetes_1	Amphisphaeriales_1	Sporocadaceae_1	Seiridium_1			0	0
FOTU_23776	Rhizaria_1	Cercozoa_1							0	0
FOTU_23777	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Hyaloscyphaceae_1	Hyaloscypha_1			0	0
FOTU_23778									0	0
FOTU_23779									0	0
FOTU_23780									0	0
FOTU_23781	Fungi_1	Kickxellomycota_1	Ramicandelaberomycetes_1	Ramicandelaberales_1					0	0
FOTU_23782	Rhizaria_1	Cercozoa_1							0	0
FOTU_23783									0	0
FOTU_23784									0	0
FOTU_23785	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1	Kappamycetaceae_1	Kappamyces_1			0	0
FOTU_23786	Fungi_1	Ascomycota_1	Sordariomycetes_1					Fungi-CCHF67,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium	79.904	100
FOTU_23787									0	0
FOTU_23788	Rhizaria_1	Cercozoa_1							0	0
FOTU_23789									0	0
FOTU_23790									0	0
FOTU_23791									0	0
FOTU_23792									0	0
FOTU_23793	Fungi_1	Mucoromycota_1	Endogonomycetes_1	Endogonales_1					0	0
FOTU_23794	Fungi_1								0	0
FOTU_23795									0	0
FOTU_23796									0	0
FOTU_23797	Rhizaria_1	Cercozoa_1							0	0
FOTU_23798									0	0
FOTU_23799									0	0
FOTU_23800	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1				Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	83.582	100
FOTU_23801	Fungi_1	Basidiomycota_1	Agaricostilbomycetes_1	Agaricostilbales_1	Chionosphaeraceae_1	Chionosphaera_1	Chionosphaera cuniculicola 		0	0
FOTU_23802	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeria_1	Phaeosphaeria tofieldiae 		0	0
FOTU_23803									0	0
FOTU_23804									0	0
FOTU_23805	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Trechisporales_1	Hydnodontaceae_1	Trechispora_1	Trechispora crystallina 		0	0
FOTU_23806	Fungi_1	Ascomycota_1							0	0
FOTU_23807									0	0
FOTU_23808									0	0
FOTU_23809									0	0
FOTU_23810									0	0
FOTU_23811	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Entolomataceae_1	Entoloma_1	Entoloma byssisedum 		0	0
FOTU_23812									0	0
FOTU_23813									0	0
FOTU_23814	Rhizaria_1	Cercozoa_1							0	0
FOTU_23815	Fungi_1	Mucoromycota_1	Endogonomycetes_1	Endogonales_1					0	0
FOTU_23816	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1					0	0
FOTU_23817	Fungi_1								0	0
FOTU_23818									0	0
FOTU_23819	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1	Cyphellophoraceae_1	Cyphellophora_1			0	0
FOTU_23820	Fungi_1	Ascomycota_1	Sordariomycetes_1	Chaetosphaeriales_1	Chaetosphaeriaceae_1	Pseudodinemasporium_1			0	0
FOTU_23821	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1					0	0
FOTU_23822	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Bionectriaceae_1			Fungi-CCHF62,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,s__Talaromyces_purpureogenus	85.000	100
FOTU_23823									0	0
FOTU_23824	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1	Neohypochnicium_1				0	0
FOTU_23825									0	0
FOTU_23826	Fungi_1	Chytridiomycota_1	Lobulomycetes_1	Lobulomycetales_1					0	0
FOTU_23827									0	0
FOTU_23828	Fungi_1	Ascomycota_1	Sordariomycetes_1	Chaetosphaeriales_1	Chaetosphaeriaceae_1	Chaetosphaeria_1			0	0
FOTU_23829									0	0
FOTU_23830									0	0
FOTU_23831	Fungi_1								0	0
FOTU_23832	Rhizaria_1	Cercozoa_1							0	0
FOTU_23833									0	0
FOTU_23834	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Parastenospora_1	Parastenospora pini 			0	0
FOTU_23835									0	0
FOTU_23836									0	0
FOTU_23837									0	0
FOTU_23838	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Boletales_1	Boletaceae_1	Tylopilus_1	Tylopilus plumbeoviolaceus 		0	0
FOTU_23839	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Aspergillaceae_1	Penicillium_1		Fungi-OEO_O50,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium	86.829	100
FOTU_23840									0	0
FOTU_23841	Fungi_1	Kickxellomycota_1	Ramicandelaberomycetes_1	Ramicandelaberales_1	Ramicandelaberaceae_1	Ramicandelaber_1			0	0
FOTU_23842	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Bionectriaceae_1			Fungi-CCHF44,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea	82.011	93
FOTU_23843	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1					0	0
FOTU_23844									0	0
FOTU_23845									0	0
FOTU_23846	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1					0	0
FOTU_23847	Fungi_1	Basidiomycota_1							0	0
FOTU_23848	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Teratosphaeriaceae_1	Xenoteratosphaeria_1		Fungi-ZANF35,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium	82.759	84
FOTU_23849									0	0
FOTU_23850	Rhizaria_1	Cercozoa_1							0	0
FOTU_23851									0	0
FOTU_23852	Fungi_1								0	0
FOTU_23853	Fungi_1								0	0
FOTU_23854									0	0
FOTU_23855									0	0
FOTU_23856									0	0
FOTU_23857	Fungi_1								0	0
FOTU_23858	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Bionectriaceae_1	Clonostachys_1			0	0
FOTU_23859									0	0
FOTU_23860									0	0
FOTU_23861	Fungi_1								0	0
FOTU_23862	Fungi_1								0	0
FOTU_23863	Fungi_1								0	0
FOTU_23864									0	0
FOTU_23865	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Stachybotryaceae_1			Fungi-CCHF65,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__,g__Sesquicillium	83.092	100
FOTU_23866									0	0
FOTU_23867	Fungi_1	Basidiomycota_1							0	0
FOTU_23868									0	0
